기준_년분기_코드,상권_구분_코드_명,상권_코드_명,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액
20254,발달상권,개롱역,분식전문점,504140647,48785,357109754,147030893,257007814,221100324,5367307,28485354,89818606,125377716,123424092,105635064
20254,발달상권,한강성심병원,반찬가게,327628696,30691,327628696,0,75055655,245738336,0,29451568,124446166,77955554,50704244,38236458
20254,골목상권,배문고등학교,치킨전문점,8814190,465,6160234,2653956,3895692,3816808,326261,2064030,1187528,1247978,1922521,964181
20254,골목상권,배문고등학교,미용실,23270946,838,15735266,7535680,8668192,14602754,74055,1964571,3463417,4447097,6694509,6627297
20254,골목상권,배문고등학교,세탁소,19676744,759,13268977,6407767,8622389,11054355,2653,1208032,2488626,4383709,8330193,3263531
20254,골목상권,배문고등학교,슈퍼마켓,24835144,5222,17617565,7217579,17801167,7033977,991254,587555,3181794,3241247,8572801,8260493
20254,골목상권,대청초등학교,안경,295678499,2189,195574004,100104495,155504004,134733610,632138,21690886,34684547,82631952,80273158,70324934
20254,발달상권,도산공원교차로,화장품,1849619686,3490,1594056113,255563573,408620283,1267004801,714623,24794595,444634729,586565743,477605814,141309579
20254,골목상권,배문고등학교,육류판매,73179884,1785,58898520,14281364,48222489,24957395,0,4192167,6946867,32284715,11972623,17783512
20254,전통시장,강북종합전통시장(강북종합골목시장),호프-간이주점,1061463780,12615,650621424,410842356,804855136,252527159,8953992,57077567,96930525,141843111,255724170,496852930
20254,발달상권,원남동사거리,전자상거래업,134546350,1007,93221831,41324519,0,134546350,0,134546350,0,0,0,0
20254,발달상권,서울남부지방법원,일반의원,712251075,30723,547355730,164895345,282089797,430161278,623552,35183114,166928092,222261878,156214025,131040414
20254,골목상권,남영역 1번,분식전문점,290942981,24038,240881899,50061082,156571349,96818982,2411135,42579556,60481337,64299685,48866933,34751687
20254,발달상권,등나무근린공원,스포츠클럽,777092392,2312,651462961,125629431,276591148,488973364,3982572,143587356,110975354,160777772,240650603,105590854
20254,전통시장,"수유전통시장(수유시장, 수유골목시장)",한식음식점,2246619771,108367,1411375539,835244232,1189674755,973028932,3258769,72848169,187606545,363115895,596828167,939046142
20254,발달상권,방배역,핸드폰,46130396,1111,44755889,1374507,44040499,2089897,0,0,0,43325110,2447591,357695
20254,골목상권,대림역 2번,청과상,13776386,622,8204455,5571931,9088677,4687709,0,695980,716450,1744043,5797183,4822730
20254,골목상권,남영역 1번,컴퓨터및주변장치판매,387000000,1636,269777470,117222530,131101197,225452080,0,23031559,55535791,141254512,20136039,116595377
20254,골목상권,남영역 1번,중식음식점,216939022,6329,176612583,40326439,124482343,56456491,501570,22858472,50852636,36144611,45866639,24714908
20254,골목상권,대흥역 3번,일식음식점,146652167,1883,114004530,32647637,45482676,58275714,0,22516050,39762658,29566158,9049697,2863828
20254,발달상권,"숙대입구역(남영역, 남영동)",중식음식점,145818658,9122,122761866,23056792,68667438,70159847,2339555,35174429,41818746,25599134,23210896,10684526
20254,골목상권,남영역 1번,편의점,1024726729,170555,715748356,308978373,586397675,438329054,27616562,263460506,393845395,159818259,128922163,51063844
20254,골목상권,마포경찰서,한식음식점,158874769,6352,125875469,32999300,76858462,54083748,178951,11184411,33528019,34862828,27041874,24146128
