"동별(1)",동별(2),동별(3),2026. 07,2026. 07,2026. 07,2026. 07,2026. 07,2026. 07,2026. 07,2026. 07,2026. 07,2026. 07
"동별(1)",동별(2),동별(3),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자
"합계",은평구,진관동,21562,53754,24870,28884,53557,24804,28753,197,66,131
"합계",서대문구,소계,147065,315222,145774,169448,299531,141080,158451,15691,4694,10997
"합계",서대문구,천연동,7638,16488,7751,8737,16290,7639,8651,198,112,86
"합계",서대문구,북아현동,6997,15368,7380,7988,15030,7236,7794,338,144,194
"합계",서대문구,충현동,9916,19547,9314,10233,19058,9088,9970,489,226,263
"합계",서대문구,신촌동,15497,27450,10183,17267,20565,8729,11836,6885,1454,5431
"합계",서대문구,연희동,18657,36514,16783,19731,33004,15585,17419,3510,1198,2312
"합계",서대문구,홍제1동,11188,24467,11323,13144,24212,11220,12992,255,103,152
"합계",서대문구,홍제3동,7933,17317,8160,9157,17132,8091,9041,185,69,116
"합계",서대문구,홍제2동,5228,11894,5514,6380,11803,5480,6323,91,34,57
"합계",서대문구,홍은1동,10422,23559,11229,12330,23335,11148,12187,224,81,143
"합계",서대문구,홍은2동,12744,28057,13270,14787,27021,12892,14129,1036,378,658
"합계",서대문구,남가좌1동,6385,17520,8325,9195,17261,8235,9026,259,90,169
"합계",서대문구,남가좌2동,13246,29909,14013,15896,28276,13453,14823,1633,560,1073
"합계",서대문구,북가좌1동,6706,17186,8231,8955,17043,8159,8884,143,72,71
"합계",서대문구,북가좌2동,14508,29946,14298,15648,29501,14125,15376,445,173,272
"합계",마포구,소계,180518,367291,169056,198235,356154,165241,190913,11137,3815,7322
"합계",마포구,아현동,12103,29085,13423,15662,28562,13216,15346,523,207,316
"합계",마포구,공덕동,18469,36465,16923,19542,35752,16609,19143,713,314,399
"합계",마포구,도화동,9318,20499,9694,10805,20250,9569,10681,249,125,124
"합계",마포구,용강동,9266,21538,10083,11455,21170,9905,11265,368,178,190
"합계",마포구,대흥동,8671,15942,7247,8695,14194,6721,7473,1748,526,1222
"합계",마포구,염리동,7709,17510,8169,9341,16737,7970,8767,773,199,574
"합계",마포구,신수동,10120,22360,10820,11540,21989,10677,11312,371,143,228
"합계",마포구,서강동,12292,25037,11801,13236,24292,11595,12697,745,206,539
"합계",마포구,서교동,15142,25737,11315,14422,23414,10653,12761,2323,662,1661
"합계",마포구,합정동,8865,15849,7175,8674,15449,7038,8411,400,137,263
"합계",마포구,망원1동,10011,18650,8629,10021,18331,8488,9843,319,141,178
"합계",마포구,망원2동,8159,17260,7953,9307,17029,7867,9162,231,86,145
"합계",마포구,연남동,8307,14744,6748,7996,13825,6410,7415,919,338,581
"합계",마포구,성산1동,9648,18649,8446,10203,18264,8305,9959,385,141,244
"합계",마포구,성산2동,19659,38245,16810,21435,37867,16715,21152,378,95,283
"합계",마포구,상암동,12779,29721,13820,15901,29029,13503,15526,692,317,375
"합계",양천구,소계,178893,423915,205773,218142,420595,204487,216108,3320,1286,2034
"합계",양천구,목1동,10330,29943,14380,15563,29804,14313,15491,139,67,72
"합계",양천구,목2동,13265,27983,13360,14623,27730,13263,14467,253,97,156
"합계",양천구,목3동,10076,20680,9770,10910,20483,9692,10791,197,78,119
"합계",양천구,목4동,9871,23629,11443,12186,23460,11387,12073,169,56,113
"합계",양천구,목5동,13537,40471,19989,20482,40345,19941,20404,126,48,78
"합계",양천구,신월1동,9879,18714,9524,9190,18440,9426,9014,274,98,176
"합계",양천구,신월2동,8714,20558,9962,10596,20408,9912,10496,150,50,100
"합계",양천구,신월3동,7407,13658,7163,6495,13445,7076,6369,213,87,126
"합계",양천구,신월4동,6757,16626,7989,8637,16530,7956,8574,96,33,63
"합계",양천구,신월5동,6360,13751,6750,7001,13596,6691,6905,155,59,96
"합계",양천구,신월6동,5306,13631,6654,6977,13565,6627,6938,66,27,39
"합계",양천구,신월7동,9080,17970,8663,9307,17811,8614,9197,159,49,110
"합계",양천구,신정1동,6957,19424,9444,9980,19331,9400,9931,93,44,49
"합계",양천구,신정2동,6891,18686,9125,9561,18597,9087,9510,89,38,51
"합계",양천구,신정3동,18105,44795,21561,23234,44524,21450,23074,271,111,160
"합계",양천구,신정4동,16679,31793,15238,16555,31124,14981,16143,669,257,412
"합계",양천구,신정6동,8214,23833,11520,12313,23791,11500,12291,42,20,22
"합계",양천구,신정7동,11465,27770,13238,14532,27611,13171,14440,159,67,92
"합계",강서구,소계,274725,554922,264367,290555,548268,261594,286674,6654,2773,3881
"합계",강서구,염창동,16853,41110,19618,21492,40954,19568,21386,156,50,106
"합계",강서구,등촌1동,14275,25095,11495,13600,24834,11416,13418,261,79,182
"합계",강서구,등촌2동,8643,19049,9256,9793,18892,9188,9704,157,68,89
"합계",강서구,등촌3동,15058,28643,13406,15237,28437,13322,15115,206,84,122
"합계",강서구,화곡1동,28364,50884,24415,26469,49649,23941,25708,1235,474,761
"합계",강서구,화곡2동,8270,17015,8131,8884,16664,7990,8674,351,141,210
"합계",강서구,화곡3동,9683,20652,9789,10863,20456,9713,10743,196,76,120
"합계",강서구,화곡4동,9670,19361,9331,10030,18970,9175,9795,391,156,235
"합계",강서구,화곡본동,17278,32128,15490,16638,31594,15291,16303,534,199,335
"합계",강서구,화곡6동,13428,25602,12182,13420,25235,12040,13195,367,142,225
"합계",강서구,화곡8동,11525,22713,10911,11802,22252,10710,11542,461,201,260
"합계",강서구,가양1동,21055,33677,15049,18628,33334,14919,18415,343,130,213
"합계",강서구,가양2동,7908,12874,6045,6829,12804,6023,6781,70,22,48
"합계",강서구,가양3동,7524,13388,6180,7208,13301,6142,7159,87,38,49
"합계",강서구,발산1동,13630,34862,16392,18470,34555,16201,18354,307,191,116
"합계",강서구,우장산동,17473,43878,20794,23084,43602,20689,22913,276,105,171
"합계",강서구,공항동,13784,29167,14704,14463,28574,14390,14184,593,314,279
"합계",강서구,방화1동,16834,40702,19755,20947,40456,19638,20818,246,117,129
"합계",강서구,방화2동,12361,22761,11237,11524,22486,11103,11383,275,134,141
"합계",강서구,방화3동,11109,21361,10187,11174,21219,10135,11084,142,52,90
"합계",구로구,소계,185254,404394,198033,206361,382531,186598,195933,21863,11435,10428
"합계",구로구,신도림동,14435,36021,17274,18747,35692,17106,18586,329,168,161
"합계",구로구,구로1동,8440,20210,9864,10346,20023,9786,10237,187,78,109
"합계",구로구,구로2동,12084,27592,14078,13514,21647,10767,10880,5945,3311,2634
"합계",구로구,구로3동,13714,24444,12537,11907,22653,11687,10966,1791,850,941
"합계",구로구,구로4동,10075,21114,10359,10755,17562,8405,9157,3552,1954,1598
"합계",구로구,구로5동,15613,30988,15119,15869,28474,13866,14608,2514,1253,1261
"합계",구로구,가리봉동,6219,11966,6631,5335,8878,4914,3964,3088,1717,1371
"합계",구로구,고척1동,11719,26535,13149,13386,26224,13004,13220,311,145,166
"합계",구로구,고척2동,11315,25073,12278,12795,24695,12086,12609,378,192,186
"합계",구로구,개봉1동,15407,33982,16783,17199,33190,16374,16816,792,409,383
"합계",구로구,개봉2동,12746,29502,14105,15397,29075,13894,15181,427,211,216
"합계",구로구,개봉3동,8543,18939,9103,9836,18493,8881,9612,446,222,224
"합계",구로구,오류1동,13344,23889,11267,12622,22970,10873,12097,919,394,525
"합계",구로구,오류2동,15505,35963,16986,18977,35381,16710,18671,582,276,306
"합계",구로구,수궁동,9917,22015,10737,11278,21619,10560,11059,396,177,219
"합계",구로구,항동,6178,16161,7763,8398,15955,7685,8270,206,78,128
"합계",금천구,소계,122157,235173,118126,117047,222421,111546,110875,12752,6580,6172
"합계",금천구,가산동,18943,27746,14792,12954,25534,13636,11898,2212,1156,1056
"합계",금천구,독산1동,26827,49685,25044,24641,47702,24107,23595,1983,937,1046
"합계",금천구,독산2동,9361,18277,9163,9114,17020,8519,8501,1257,644,613
"합계",금천구,독산3동,12763,25512,12960,12552,22566,11338,11228,2946,1622,1324
"합계",금천구,독산4동,7426,15220,7667,7553,13776,6888,6888,1444,779,665
"합계",금천구,시흥1동,16326,32390,16035,16355,30925,15298,15627,1465,737,728
"합계",금천구,시흥2동,8145,19815,9475,10340,19698,9429,10269,117,46,71
"합계",금천구,시흥3동,4663,10061,4961,5100,9896,4877,5019,165,84,81
"합계",금천구,시흥4동,8802,18852,9331,9521,18231,9021,9210,621,310,311
"합계",금천구,시흥5동,8901,17615,8698,8917,17073,8433,8640,542,265,277
"합계",영등포구,소계,193574,392903,191955,200948,371691,181081,190610,21212,10874,10338
"합계",영등포구,영등포본동,10426,21834,11207,10627,20220,10359,9861,1614,848,766
"합계",영등포구,영등포동,22319,32148,16116,16032,31182,15729,15453,966,387,579
